Deformation results for spatially-varying sinusoidal pressure load centerline
Index S Position (m)       Z Deflection (m)    
1     0.0000e+00           0.000000e+00        
2     1.2700e-03           -3.805000e-09       
3     2.5400e-03           -7.095700e-09       
4     3.8100e-03           -9.197600e-09       
5     5.0800e-03           -1.071300e-08       
6     6.3500e-03           -1.184300e-08       
7     7.6200e-03           -1.222200e-08       
8     8.8900e-03           -1.240500e-08       
9     1.0160e-02           -1.214600e-08       
10    1.1430e-02           -1.164000e-08       
11    1.2700e-02           -1.089600e-08       
12    1.3970e-02           -9.930500e-09       
13    1.5240e-02           -8.886400e-09       
14    1.6510e-02           -7.625200e-09       
15    1.7780e-02           -6.328600e-09       
16    1.9050e-02           -4.982000e-09       
17    2.0320e-02           -3.579500e-09       
18    2.1590e-02           -2.155700e-09       
19    2.2860e-02           -7.666800e-10       
20    2.4130e-02           6.102600e-10        
21    2.5400e-02           1.961700e-09        
22    2.6670e-02           3.242800e-09        
23    2.7940e-02           4.481400e-09        
24    2.9210e-02           5.612200e-09        
25    3.0480e-02           6.697700e-09        
26    3.1750e-02           7.658900e-09        
27    3.3020e-02           8.530600e-09        
28    3.4290e-02           9.322600e-09        
29    3.5560e-02           9.957200e-09        
30    3.6830e-02           1.053300e-08        
31    3.8100e-02           1.093200e-08        
32    3.9370e-02           1.124000e-08        
33    4.0640e-02           1.142900e-08        
34    4.1910e-02           1.145000e-08        
35    4.3180e-02           1.140300e-08        
36    4.4450e-02           1.111700e-08        
37    4.5720e-02           1.074800e-08        
38    4.6990e-02           1.021700e-08        
39    4.8260e-02           9.392900e-09        
40    4.9530e-02           8.404900e-09        
41    5.0800e-02           6.706000e-09        
42    5.2070e-02           4.736500e-09        
43    5.3340e-02           2.007400e-09        
44    5.4610e-02           2.945700e-09        
45    5.5880e-02           -2.919900e-09       
46    5.7150e-02           1.427200e-08        
47    5.8420e-02           -4.635100e-10       
48    5.9690e-02           -9.892000e-10       
49    6.0960e-02           -2.171200e-09       
50    6.2230e-02           -1.242500e-09       
51    6.3500e-02           -3.389500e-09       
52    6.4770e-02           -3.395700e-09       
53    6.6040e-02           -3.899700e-09       
54    6.7310e-02           -7.436200e-09       
55    6.8580e-02           -5.087000e-09       
56    6.9850e-02           -1.320900e-08       
57    7.1120e-02           -5.106200e-09       
58    7.2390e-02           -1.864400e-08       
59    7.3660e-02           -7.533600e-09       
60    7.4930e-02           -2.519700e-08       
61    7.6200e-02           -1.014300e-08       
62    7.7470e-02           -3.189400e-08       
63    7.8740e-02           -1.310600e-08       
64    8.0010e-02           -3.878400e-08       
65    8.1280e-02           -1.638000e-08       
66    8.2550e-02           -4.583800e-08       
67    8.3820e-02           -1.993400e-08       
68    8.5090e-02           -5.302600e-08       
69    8.6360e-02           -2.374100e-08       
70    8.7630e-02           -6.031000e-08       
71    8.8900e-02           -2.776900e-08       
72    9.0170e-02           -6.765000e-08       
73    9.1440e-02           -3.198400e-08       
74    9.2710e-02           -7.499800e-08       
75    9.3980e-02           -3.634800e-08       
76    9.5250e-02           -8.231000e-08       
77    9.6520e-02           -4.082300e-08       
78    9.7790e-02           -8.953600e-08       
79    9.9060e-02           -4.536800e-08       
80    1.0033e-01           -9.662700e-08       
81    1.0160e-01           -4.994300e-08       
82    1.0287e-01           -1.035400e-07       
83    1.0414e-01           -5.450800e-08       
84    1.0541e-01           -1.102200e-07       
85    1.0668e-01           -5.902200e-08       
86    1.0795e-01           -1.166200e-07       
87    1.0922e-01           -6.344400e-08       
88    1.1049e-01           -1.227000e-07       
89    1.1176e-01           -6.773500e-08       
90    1.1303e-01           -1.284100e-07       
91    1.1430e-01           -7.185600e-08       
92    1.1557e-01           -1.337100e-07       
93    1.1684e-01           -7.576900e-08       
94    1.1811e-01           -1.385600e-07       
95    1.1938e-01           -7.943700e-08       
96    1.2065e-01           -1.342200e-07       
97    1.2192e-01           -8.282400e-08       
98    1.2319e-01           -1.165000e-07       
99    1.2446e-01           -8.589600e-08       
100   1.2573e-01           -9.806900e-08       
101   1.2700e-01           -8.862100e-08       
102   1.2827e-01           -7.914800e-08       
103   1.2954e-01           -9.096800e-08       
104   1.3081e-01           -5.996100e-08       
105   1.3208e-01           -9.290800e-08       
106   1.3335e-01           -4.073000e-08       
107   1.3462e-01           -9.441500e-08       
108   1.3589e-01           -3.413900e-08       
109   1.3716e-01           -9.546400e-08       
110   1.3843e-01           -3.599700e-08       
111   1.3970e-01           -9.603400e-08       
112   1.4097e-01           -3.759100e-08       
113   1.4224e-01           -9.610400e-08       
114   1.4351e-01           -3.889800e-08       
115   1.4478e-01           -9.565900e-08       
116   1.4605e-01           -3.990000e-08       
117   1.4732e-01           -9.468400e-08       
118   1.4859e-01           -4.057800e-08       
119   1.4986e-01           -9.316800e-08       
120   1.5113e-01           -4.091600e-08       
121   1.5240e-01           -9.110200e-08       
122   1.5367e-01           -4.090100e-08       
123   1.5494e-01           -8.848100e-08       
124   1.5621e-01           -4.052200e-08       
125   1.5748e-01           -8.530100e-08       
126   1.5875e-01           -3.976800e-08       
127   1.6002e-01           -8.156300e-08       
128   1.6129e-01           -3.863500e-08       
129   1.6256e-01           -7.727000e-08       
130   1.6383e-01           -3.711800e-08       
131   1.6510e-01           -7.242800e-08       
132   1.6637e-01           -3.521600e-08       
133   1.6764e-01           -6.704600e-08       
134   1.6891e-01           -3.292900e-08       
135   1.7018e-01           -6.113600e-08       
136   1.7145e-01           -3.026200e-08       
137   1.7272e-01           -5.471500e-08       
138   1.7399e-01           -2.722500e-08       
139   1.7526e-01           -4.780600e-08       
140   1.7653e-01           -2.383300e-08       
141   1.7780e-01           -4.043900e-08       
142   1.7907e-01           -2.011400e-08       
143   1.8034e-01           -3.265800e-08       
144   1.8161e-01           -1.611200e-08       
145   1.8288e-01           -2.452500e-08       
146   1.8415e-01           -1.184200e-08       
147   1.8542e-01           -1.498900e-08       
148   1.8669e-01           -7.745400e-09       
149   1.8796e-01           -7.694900e-09       
150   1.8923e-01           -4.554500e-09       
151   1.9050e-01           -1.655900e-09       
152   1.9177e-01           -3.377600e-09       
153   1.9304e-01           6.212900e-10        
154   1.9431e-01           -5.452800e-09       
155   1.9558e-01           1.293200e-10        
156   1.9685e-01           1.199300e-08        
157   1.9812e-01           -2.415600e-09       
158   1.9939e-01           3.525100e-09        
159   2.0066e-01           1.796200e-09        
160   2.0193e-01           4.961200e-09        
161   2.0320e-01           7.186200e-09        
162   2.0447e-01           9.074000e-09        
163   2.0574e-01           1.008400e-08        
164   2.0701e-01           1.094200e-08        
165   2.0828e-01           1.152800e-08        
166   2.0955e-01           1.191600e-08        
167   2.1082e-01           1.220200e-08        
168   2.1209e-01           1.227300e-08        
169   2.1336e-01           1.226600e-08        
170   2.1463e-01           1.206700e-08        
171   2.1590e-01           1.175900e-08        
172   2.1717e-01           1.136900e-08        
173   2.1844e-01           1.078200e-08        
174   2.1971e-01           1.013500e-08        
175   2.2098e-01           9.335000e-09        
176   2.2225e-01           8.447400e-09        
177   2.2352e-01           7.461000e-09        
178   2.2479e-01           6.351200e-09        
179   2.2606e-01           5.195700e-09        
180   2.2733e-01           3.921300e-09        
181   2.2860e-01           2.605000e-09        
182   2.2987e-01           1.219700e-09        
183   2.3114e-01           -1.959500e-10       
184   2.3241e-01           -1.625900e-09       
185   2.3368e-01           -3.088400e-09       
186   2.3495e-01           -4.530400e-09       
187   2.3622e-01           -5.919300e-09       
188   2.3749e-01           -7.256800e-09       
189   2.3876e-01           -8.557800e-09       
190   2.4003e-01           -9.642600e-09       
191   2.4130e-01           -1.064800e-08       
192   2.4257e-01           -1.143000e-08       
193   2.4384e-01           -1.197200e-08       
194   2.4511e-01           -1.226700e-08       
195   2.4638e-01           -1.211500e-08       
196   2.4765e-01           -1.176700e-08       
197   2.4892e-01           -1.066100e-08       
198   2.5019e-01           -9.166500e-09       
199   2.5146e-01           -7.080900e-09       
200   2.5273e-01           -3.799100e-09       
201   2.5400e-01           2.742400e-21        
