Deformation results for spatially-varying 10 Pa load
Index S Position (m)       Z Deflection (m)    
1     0.0000e+00           0.000000e+00        
2     1.2700e-03           -4.169500e-07       
3     2.5400e-03           -1.071100e-06       
4     3.8100e-03           -2.247300e-06       
5     5.0800e-03           -3.781300e-06       
6     6.3500e-03           -5.575000e-06       
7     7.6200e-03           -7.835100e-06       
8     8.8900e-03           -1.016900e-05       
9     1.0160e-02           -1.283500e-05       
10    1.1430e-02           -1.568100e-05       
11    1.2700e-02           -1.862900e-05       
12    1.3970e-02           -2.176500e-05       
13    1.5240e-02           -2.496800e-05       
14    1.6510e-02           -2.833500e-05       
15    1.7780e-02           -3.167600e-05       
16    1.9050e-02           -3.510100e-05       
17    2.0320e-02           -3.861600e-05       
18    2.1590e-02           -4.202900e-05       
19    2.2860e-02           -4.552200e-05       
20    2.4130e-02           -4.899000e-05       
21    2.5400e-02           -5.244100e-05       
22    2.6670e-02           -5.582700e-05       
23    2.7940e-02           -5.916000e-05       
24    2.9210e-02           -6.253500e-05       
25    3.0480e-02           -6.575500e-05       
26    3.1750e-02           -6.885000e-05       
27    3.3020e-02           -7.189400e-05       
28    3.4290e-02           -7.490300e-05       
29    3.5560e-02           -7.788800e-05       
30    3.6830e-02           -8.067900e-05       
31    3.8100e-02           -8.345600e-05       
32    3.9370e-02           -8.603700e-05       
33    4.0640e-02           -8.862500e-05       
34    4.1910e-02           -9.098100e-05       
35    4.3180e-02           -9.333200e-05       
36    4.4450e-02           -9.547000e-05       
37    4.5720e-02           -9.757500e-05       
38    4.6990e-02           -9.947000e-05       
39    4.8260e-02           -1.013300e-04       
40    4.9530e-02           -1.029800e-04       
41    5.0800e-02           -1.045900e-04       
42    5.2070e-02           -1.059900e-04       
43    5.3340e-02           -1.073400e-04       
44    5.4610e-02           -1.085000e-04       
45    5.5880e-02           -1.095900e-04       
46    5.7150e-02           -1.104900e-04       
47    5.8420e-02           -1.113200e-04       
48    5.9690e-02           -1.119600e-04       
49    6.0960e-02           -1.125400e-04       
50    6.2230e-02           -1.129200e-04       
51    6.3500e-02           -1.132400e-04       
52    6.4770e-02           -1.133700e-04       
53    6.6040e-02           -1.134300e-04       
54    6.7310e-02           -1.133100e-04       
55    6.8580e-02           -1.131200e-04       
56    6.9850e-02           -1.127500e-04       
57    7.1120e-02           -1.123100e-04       
58    7.2390e-02           -1.116900e-04       
59    7.3660e-02           -1.110000e-04       
60    7.4930e-02           -1.101400e-04       
61    7.6200e-02           -1.092200e-04       
62    7.7470e-02           -1.081200e-04       
63    7.8740e-02           -1.069700e-04       
64    8.0010e-02           -1.056400e-04       
65    8.1280e-02           -1.042600e-04       
66    8.2550e-02           -1.027000e-04       
67    8.3820e-02           -1.011100e-04       
68    8.5090e-02           -9.933800e-05       
69    8.6360e-02           -9.752800e-05       
70    8.7630e-02           -9.555500e-05       
71    8.8900e-02           -9.354200e-05       
72    9.0170e-02           -9.137400e-05       
73    9.1440e-02           -8.916600e-05       
74    9.2710e-02           -8.681300e-05       
75    9.3980e-02           -8.442000e-05       
76    9.5250e-02           -8.189300e-05       
77    9.6520e-02           -7.932700e-05       
78    9.7790e-02           -7.663500e-05       
79    9.9060e-02           -7.390800e-05       
80    1.0033e-01           -7.106300e-05       
81    1.0160e-01           -6.818500e-05       
82    1.0287e-01           -6.519900e-05       
83    1.0414e-01           -6.218500e-05       
84    1.0541e-01           -5.906900e-05       
85    1.0668e-01           -5.593000e-05       
86    1.0795e-01           -5.269700e-05       
87    1.0922e-01           -4.944900e-05       
